Finding ID,Rule ID,Rule Version,Category,Title,Description,Severity,Confidence,Status,First Seen At,Last Seen At,Resource Type,Resource ID,Resource ARN,Region,Framework,Control ID
3fae23de-4d23-5b0e-be40-c8121cc0e267,aws.apigateway.stage.api_access_logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.154794Z,2026-01-14T04:42:04.154794Z,apigateway,,aws.apigateway.stage.api_access_logging_enabled#eu-west-1#apigateway,eu-west-1,,
caf060bc-470a-5725-adac-9b84127b6055,aws.apigateway.stage.logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.154856Z,2026-01-14T04:42:04.154856Z,apigateway,,aws.apigateway.stage.logging_enabled#eu-west-1#apigateway,eu-west-1,,
a44dba01-7d73-59ad-a5cb-3bf7ae6d67c5,aws.apigateway.v2api.waf_enabled,,,,,medium,high,open,2026-01-14T04:42:04.154893Z,2026-01-14T04:42:04.154893Z,apigateway,,aws.apigateway.v2api.waf_enabled#eu-west-1#apigateway,eu-west-1,,
27132640-091f-524b-9e55-6428cc873b72,aws.apigateway.resource.restapi_cache_encrypted,,,,,medium,high,open,2026-01-14T04:42:04.154929Z,2026-01-14T04:42:04.154929Z,apigateway,,aws.apigateway.resource.restapi_cache_encrypted#us-east-1#apigateway,us-east-1,,
0cfc31fe-aaa5-533b-9c78-476b81bc8315,aws.apigateway.resource.restapi_logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.154968Z,2026-01-14T04:42:04.154968Z,apigateway,,aws.apigateway.resource.restapi_logging_enabled#us-east-1#apigateway,us-east-1,,
65c810da-e551-55e4-8d7d-d1f742a395ba,aws.apigateway.restapi.logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.155009Z,2026-01-14T04:42:04.155009Z,apigateway,,aws.apigateway.restapi.logging_enabled#us-east-1#apigateway,us-east-1,,
2dbe9d6d-903a-5419-b5e9-ef3066fca185,aws.apigateway.restapi.tracing_enabled,,,,,medium,high,open,2026-01-14T04:42:04.155042Z,2026-01-14T04:42:04.155042Z,apigateway,,aws.apigateway.restapi.tracing_enabled#us-east-1#apigateway,us-east-1,,
36717a3a-3711-5306-8b93-d5b8f62d1e64,aws.apigateway.restapi.waf_enabled,,,,,medium,high,open,2026-01-14T04:42:04.155077Z,2026-01-14T04:42:04.155077Z,apigateway,,aws.apigateway.restapi.waf_enabled#us-east-1#apigateway,us-east-1,,
e0d2f23c-9f49-5adc-a7ce-8cd62679382f,aws.apigateway.stage.api_access_log_fields_identity_configured,,,,,medium,high,open,2026-01-14T04:42:04.155111Z,2026-01-14T04:42:04.155111Z,apigateway,,aws.apigateway.stage.api_access_log_fields_identity_configured#us-east-1#apigateway,us-east-1,,
7c21dcaa-1e82-503a-9915-8060602f5985,aws.apigateway.stage.api_access_log_sink_configured,,,,,medium,high,open,2026-01-14T04:42:04.155151Z,2026-01-14T04:42:04.155151Z,apigateway,,aws.apigateway.stage.api_access_log_sink_configured#us-east-1#apigateway,us-east-1,,
ca957bc6-d1b6-5856-a177-845d305ac5ab,aws.apigateway.stage.api_access_logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.155183Z,2026-01-14T04:42:04.155183Z,apigateway,,aws.apigateway.stage.api_access_logging_enabled#us-east-1#apigateway,us-east-1,,
59333664-e733-52b1-ac4f-ebc25810aa4b,aws.apigateway.stage.logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.155215Z,2026-01-14T04:42:04.155215Z,apigateway,,aws.apigateway.stage.logging_enabled#us-east-1#apigateway,us-east-1,,
adbd2c4c-d9ee-5208-a308-9bed86b28db0,aws.apigateway.v2api.waf_enabled,,,,,medium,high,open,2026-01-14T04:42:04.155247Z,2026-01-14T04:42:04.155247Z,apigateway,,aws.apigateway.v2api.waf_enabled#us-east-1#apigateway,us-east-1,,
891a9b7f-e4c4-507a-8eb4-f67d85eb2de9,aws.apigateway.resource.restapi_cache_encrypted,,,,,medium,high,open,2026-01-14T04:42:04.155286Z,2026-01-14T04:42:04.155286Z,apigateway,,aws.apigateway.resource.restapi_cache_encrypted#us-west-2#apigateway,us-west-2,,
f2eabbda-1dec-592d-9f1e-40626eb85f2d,aws.apigateway.resource.restapi_logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.155319Z,2026-01-14T04:42:04.155319Z,apigateway,,aws.apigateway.resource.restapi_logging_enabled#us-west-2#apigateway,us-west-2,,
efa63e70-9203-52ec-ad2c-a89bb0064ea7,aws.apigateway.restapi.logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.155351Z,2026-01-14T04:42:04.155351Z,apigateway,,aws.apigateway.restapi.logging_enabled#us-west-2#apigateway,us-west-2,,
c4954a6d-4591-544d-aa21-02b2481c35d6,aws.apigateway.restapi.tracing_enabled,,,,,medium,high,open,2026-01-14T04:42:04.155386Z,2026-01-14T04:42:04.155386Z,apigateway,,aws.apigateway.restapi.tracing_enabled#us-west-2#apigateway,us-west-2,,
